name,author_title,review_text,review_rating,review_datetime_utc
Taman Impian Jaya Ancol,Sigma loveMilena,хлчу,5,06/16/2025 14:37:01
Taman Impian Jaya Ancol,Fauzia Humaira,,5,06/16/2025 10:58:06
Taman Impian Jaya Ancol,Robi llzati,,5,06/16/2025 10:36:30
Taman Impian Jaya Ancol,Tauhid Mahyudin,,5,06/16/2025 08:18:05
Taman Impian Jaya Ancol,Viega Widya,"Free entry during Jakarta's anniversary. Start from 17.00-23.00

Stopped by at Lagoon beach and was full of ppl. Take care and enjoy everyone!",5,06/16/2025 07:45:30
Taman Impian Jaya Ancol,Didik Fahmi Lasodi,,4,06/16/2025 06:20:31
Taman Impian Jaya Ancol,Rudy Lumban Tobing,,4,06/16/2025 04:30:31
Taman Impian Jaya Ancol,Zenal Aja,Ancol semenjak ganti scurity  aman tentram tidak was was kita wisata  sekarang security santun ..,5,06/16/2025 04:20:00
Taman Impian Jaya Ancol,Astika Dwi Wulandari,lokasi makin oke .luas rapih dan bersih. Hanya di bagian kapal2 sedkit bau pesing. Sisi kiri yg ada pom bensin di dlm.  #letsguide,4,06/16/2025 02:12:34
Taman Impian Jaya Ancol,BUDI SANTOSO,,5,06/16/2025 00:17:31
Taman Impian Jaya Ancol,hesti nuraini,,5,06/15/2025 12:00:34
Taman Impian Jaya Ancol,Pemula12,,5,06/15/2025 10:59:05
Taman Impian Jaya Ancol,Bernardus S. Tjandra,,4,06/15/2025 10:52:38
Taman Impian Jaya Ancol,revan ady,,5,06/15/2025 09:30:49
Taman Impian Jaya Ancol,Adi Setiawan,,5,06/15/2025 02:37:44
Taman Impian Jaya Ancol,anwar aan,,5,06/14/2025 23:35:31
Taman Impian Jaya Ancol,Herdinnia Tri Hutami,,5,06/14/2025 13:04:51
Taman Impian Jaya Ancol,Imam Sutaryo Sutaryo,,5,06/14/2025 10:05:10
Taman Impian Jaya Ancol,عبدالله المفرجي,,5,06/14/2025 06:09:36
Taman Impian Jaya Ancol,Khumaidi Hambali,,5,06/14/2025 06:07:17
Taman Impian Jaya Ancol,Trie Widhiastuti Rohyadi,,5,06/14/2025 01:30:12
Taman Impian Jaya Ancol,Merlyna SF,,5,06/13/2025 14:07:22
Taman Impian Jaya Ancol,Rizal Chydii,"Seru seru wahananya, paling favorit naek Kereta Misteri 😁",5,06/13/2025 11:57:23
Taman Impian Jaya Ancol,Sudarmadi Darmadi,,5,06/13/2025 10:52:11
Taman Impian Jaya Ancol,Tihar MD,,4,06/13/2025 10:00:14
Taman Impian Jaya Ancol,Hilda Mahdani,,5,06/13/2025 05:25:22
Taman Impian Jaya Ancol,Amrullah Adhe,,5,06/13/2025 01:03:02
Taman Impian Jaya Ancol,Qadarasmadi Rasyid Official,Seru2an bareng kesayangan,5,06/12/2025 23:46:49
Taman Impian Jaya Ancol,Puspasari NT,,4,06/12/2025 00:26:23
Taman Impian Jaya Ancol,فواز الشريف,,5,06/11/2025 11:25:26
Taman Impian Jaya Ancol,Santi C,"Bagaimanapun kalau ke Dufan selalu happy. Terutama toiletnya skrg sdh bersih dan cukup nyaman. Mungkin bbrp hal yg bisa ditingkatkan adalah pengadaan shelter untuk bbrp wahana. Seperti wahana Ice Age, antrian selalu panjang tp hanya bbrp spot yg tertutup payung besar, sisanya sambil menunggu, kulit akan terbakar parah krn waktu menunggu yg cukup lama. Lalu kebersihan alat-alat di wahana, terutama arung jeram. Kursi wahana arung jeram banyak yg berlumut, sehingga jd cukup ngeri untuk duduk bersandar, dan air² yg ada di bbrp wahana agak bau (ice age, istana boneka, niagara-gara, arung jeram). Masalahnya air tersebut akan terkena ke muka bahkan bisa tdk sengaja masuk mulut dan tertelan.",4,06/11/2025 09:43:06
Taman Impian Jaya Ancol,Nadia Putri,,5,06/11/2025 08:56:56
Taman Impian Jaya Ancol,Nurul FajariyahA,,5,06/11/2025 05:05:04
Taman Impian Jaya Ancol,luqman luq,,5,06/11/2025 00:04:05
Taman Impian Jaya Ancol,Muhamad Rafli Rahmansyah,Mantep banget kebeneran ga banyak antri,5,06/10/2025 22:28:54
Taman Impian Jaya Ancol,Rembulan,,5,06/10/2025 22:27:00
Taman Impian Jaya Ancol,Rifki Luba,,5,06/10/2025 12:15:44
Taman Impian Jaya Ancol,Untung Saputra 87,Tempat yang seru buat rekreasi keluarga,5,06/10/2025 04:34:55
Taman Impian Jaya Ancol,konveksi tas jakarta murah,,5,06/10/2025 04:17:12
Taman Impian Jaya Ancol,SUPARTO Suparto,,5,06/10/2025 03:37:38
Taman Impian Jaya Ancol,SUPARTO Suparto,,5,06/10/2025 03:37:38
Taman Impian Jaya Ancol,Andrie Milanisti,,5,06/10/2025 03:19:19
Taman Impian Jaya Ancol,Adhie Agisha,,5,06/10/2025 02:59:36
Taman Impian Jaya Ancol,shylvi oktrisca,Tempat liburan seru,5,06/10/2025 00:04:05
Taman Impian Jaya Ancol,Atyk Yuni Arti,,1,06/09/2025 22:25:23
Taman Impian Jaya Ancol,Dirmawan Aurelia,Puas maen d Ancol,4,06/09/2025 18:40:21
Taman Impian Jaya Ancol,Deni Saputro,Tempat asik yang mainstream untuk berlibur bersama keluarga di Jakarta.,5,06/09/2025 13:17:08
Taman Impian Jaya Ancol,Hafidz Novarianto,"Really good place if we visit when its not in holiday season...dont buy from ancol website, look for traveloka or other online ticketing platform for discount...",5,06/09/2025 12:26:12
Taman Impian Jaya Ancol,Gati Aryamukti,tempat rekreasi segala umur. banyak pilihan tempat,5,06/09/2025 11:40:31
Taman Impian Jaya Ancol,lestari,,5,06/09/2025 11:17:08
Taman Impian Jaya Ancol,Echa Santoso,,5,06/09/2025 09:51:46
Taman Impian Jaya Ancol,Tommy Goenardy,,5,06/09/2025 09:33:58
Taman Impian Jaya Ancol,Desy VKS,,5,06/09/2025 08:47:18
Taman Impian Jaya Ancol,MIKHAYLA PUTRI,,5,06/09/2025 07:29:48
Taman Impian Jaya Ancol,RANZ official,"salah satu destinasi wisata keluarga yang ada di jakarta, banyak spot wahana yg disediakan salah satunya kebun binatangnya yg ckup walaupun kurang luas dan binatang nya harus ditambah lagi ya biar variasinya bnyak",4,06/09/2025 06:55:47
Taman Impian Jaya Ancol,d.puspita,,5,06/09/2025 06:49:38
Taman Impian Jaya Ancol,Dna Poes,,5,06/09/2025 01:37:02
Taman Impian Jaya Ancol,Syarifa Driyani,Ancol terlalu mahal ksian buat org tak mampu msuk ny Ja 35 blom motr 25 itu blom plus sm anak sm laki sm makan mahal deh pkok ny,5,06/08/2025 22:48:38
Taman Impian Jaya Ancol,teo752,Bagus dan murah hanya saja pantainya kotor harusnya pengembang lebih memperhatikan kebersihan supaya di air tidak banyak sampah berserakan,5,06/08/2025 18:51:43
Taman Impian Jaya Ancol,Edi Saputra,Sunggu indah,4,06/08/2025 15:16:22
Taman Impian Jaya Ancol,nur ita,Tgl 27 mei 2025,4,06/08/2025 13:52:56
Taman Impian Jaya Ancol,Hanif Azizah,,5,06/08/2025 13:44:36
Taman Impian Jaya Ancol,Kharina Dhewayani,,5,06/08/2025 11:43:12
Taman Impian Jaya Ancol,Zahra Amalia,,5,06/08/2025 10:12:28
Taman Impian Jaya Ancol,Jejak Kamii,Masih sama seperti dulu ya seperti itu aja tapi pantainya lumayan bersih dari sampah2 karena ada petugas kebersihannya yg keliling,4,06/08/2025 09:47:07
Taman Impian Jaya Ancol,Ganyong “Dhika ganyong” Gariskeraskamtisfamily,,5,06/08/2025 09:31:03
Taman Impian Jaya Ancol,Rozinaldo,"Gk bakal bosen kl main kesini banyak pilihan liburan, makanna juga banyak dan untunk nyenengin bocah pas banget. Ada yg gratis dan ada juga yg bayar. Akses kl naik angkutan umum jiga mudah. Di dalam juga ada transjakarta premium buat keliling sekitr ancol.",5,06/08/2025 06:23:11
Taman Impian Jaya Ancol,Aprisa Silayani,,5,06/08/2025 02:55:44
Taman Impian Jaya Ancol,Indra Pratama,Taman rekreasi terbaik untuk keluarga.,5,06/08/2025 01:45:44
Taman Impian Jaya Ancol,Kurnia Pratiwi,"Tempat rekreasi yg nyaman, aman, bagi semua orang, tersedia bus AC untuk wara wiri ke wahana yg lainnya.",5,06/08/2025 00:27:43
Taman Impian Jaya Ancol,widie wijaya,,5,06/07/2025 16:30:05
Taman Impian Jaya Ancol,linan henry,,4,06/07/2025 11:36:24
Taman Impian Jaya Ancol,Tata Andari,,5,06/07/2025 10:17:50
Taman Impian Jaya Ancol,jawir chennel,,5,06/07/2025 08:43:13
Taman Impian Jaya Ancol,Syaiful Romadhon,,5,06/07/2025 08:29:41
Taman Impian Jaya Ancol,Me,Ada air mancurnya juga. Yg bisa menari,5,06/07/2025 03:46:47
Taman Impian Jaya Ancol,Garangan Yanti,,2,06/07/2025 02:37:01
Taman Impian Jaya Ancol,Hendro Pradipto,,5,06/07/2025 02:19:35
Taman Impian Jaya Ancol,Muhammad Irsyad Alfatih,Still the best,5,06/06/2025 13:38:21
Taman Impian Jaya Ancol,Sudhyantoko Tyo,"Tempatnya bagus buat rekreasi bersama teman2 maupun keluarga. Untuk tempat bermainnya terutama ice Age, harus di peremajaan lagi dah, soalnya dl 2015 main Ice Age dingin bngt, sekarang gak dingin, dingding di dalem ya pda berdebu dan pengap di dalam. Makasih",5,06/06/2025 10:19:09
Taman Impian Jaya Ancol,Lili Camelia,,5,06/06/2025 10:14:12
Taman Impian Jaya Ancol,Awan,,5,06/06/2025 00:35:38
Taman Impian Jaya Ancol,Revita T,"Main air di pantai Ancol, kotoran nempel di baju (semacam bercak/oil), dicuci pun tidak hilang! Baju putih jd coklat.
Tdk akan pernah main air lagi di pantai ancol. Kalau memang SEKOTOR DAN SEPOLUSI itu lebih baik pantai ditutup agar tidak membahayakan org2 yg bermain disana.aplg byk anak2.",1,06/05/2025 19:43:58
Taman Impian Jaya Ancol,Tika permatasari,,5,06/05/2025 16:14:58
Taman Impian Jaya Ancol,Yanto Mayor,,5,06/05/2025 13:33:12
Taman Impian Jaya Ancol,Ana Chyntiya,"Masih jadi tempat yg enak buat sekedar duduk ngobrol & minum kopi dipinggir pantai, sambil liat banyak orang lalu lalang😊
Semoga terus ditingkatkan kesadaran orang yg berkunjung & pengelola untuk tetap menjaga kebersihan & keamanan",5,06/05/2025 07:13:20
Taman Impian Jaya Ancol,리앙스,한국이랑은 비교안하시는걸 추천,3,06/05/2025 03:35:16
Taman Impian Jaya Ancol,Diah Rahmani,,5,06/04/2025 14:08:42
Taman Impian Jaya Ancol,Lina Yulianti,Ke sini dalam rangka menghadiri 30 tahun Anniversary Garda Oto 1 Juni 2025,5,06/04/2025 10:40:24
Taman Impian Jaya Ancol,PUTRI PERMATA SARI S,Nice,5,06/04/2025 06:15:33
Taman Impian Jaya Ancol,Ferry Oktaviano,,5,06/04/2025 05:57:00
Taman Impian Jaya Ancol,arman buraeri,Masuk area ancol berbayar mobil 35 rb sama tiket per orangnya 35 rb juga,5,06/04/2025 03:07:03
Taman Impian Jaya Ancol,Wanda Suwanda,Liburan ramai lancar,5,06/03/2025 22:39:57
Taman Impian Jaya Ancol,Abdul Qoadir,,5,06/03/2025 19:05:13
Taman Impian Jaya Ancol,Tjun Fat Sjarijo,,5,06/03/2025 16:53:50
Taman Impian Jaya Ancol,Andika Aji Nugroho,,5,06/03/2025 13:57:00
Taman Impian Jaya Ancol,J.Rita Latief,,5,06/03/2025 12:19:53
Taman Impian Jaya Ancol,Flory Ananda Sudarsono,,5,06/03/2025 10:58:16
Taman Impian Jaya Ancol,Miss AIW,,5,06/03/2025 07:02:37
Taman Impian Jaya Ancol,VERRY MIKE COOPER,,5,06/03/2025 04:10:14
Taman Impian Jaya Ancol,Mas Punk,Seruu bersama keluarga di hari atau musim liburan yg gk terlalu ramai jadi bisa naik semua wahana tanpa antri panjang,5,06/02/2025 22:20:57
Taman Impian Jaya Ancol,singa betina,,5,06/02/2025 20:20:56
Taman Impian Jaya Ancol,Nurhayati Mustofa,Tempat liburan keluarga banget..terutama pantainy.. Sukak sekali..,5,06/02/2025 16:25:53
Taman Impian Jaya Ancol,Syamsul Huda24,"Taman impian jaya Ancol pancen joz

Tempat yang bagus untuk hieling
Berlibur
Sangat cocok buat merepres otak dan pikiran yang mumet

Tempatnya indah banget",5,06/02/2025 15:34:07
Taman Impian Jaya Ancol,Bangun Budiono,Kalo kesini pagi enak!,5,06/02/2025 14:47:58
Taman Impian Jaya Ancol,Thony Rachmat Sulthony,,5,06/02/2025 14:00:22
Taman Impian Jaya Ancol,Fani Imelda,,5,06/02/2025 09:59:07
Taman Impian Jaya Ancol,Rizqan Khalid,,5,06/02/2025 08:11:16
Taman Impian Jaya Ancol,bonivatius priyo,,5,06/02/2025 04:27:41
Taman Impian Jaya Ancol,DR. Kece,,5,06/02/2025 04:13:02
