name,author_title,review_text,review_rating,review_datetime_utc
Goa Lowo Trenggalek,Edu play,Ok bagus,5,06/15/2025 03:05:44
Goa Lowo Trenggalek,Dwi A Wijayanto,"Sayang sekali tempat bagus begini jarang ada yang tau. Padahal satu jalan kalau ke Prigi / ke JLS.

Ke sana siang hari pas hari libur, tapi sepi sekali. Tidak ada pengunjung lain selain kami.

Parkir motor bisa titip ke rumah warga, 3rb. Tiket masuk 10rb/orang.

Perjalanan lumayan melelahkan, disarankan membawa bekal minum atau cemilan (tapi sampah jgn dibuang sembarangan)

Pertama kali masuk ke gua, dan ini bener2 menakjubkan. Bagus sekali.
Track mungkin sekitar 400-500m. Tpi aman jalurnya sudah dibuatkan tangga.

Tapi sayang sekali gak bisa lihat lubang matahari, karena waktu sudah mepet.",5,06/01/2025 04:04:06
Goa Lowo Trenggalek,Ajeng Triyani,Sangat menarik untuk ber libur,5,05/26/2025 10:14:24
Goa Lowo Trenggalek,R.L. 25,"Saya sarankan membawa masker, karena guanya sedikit beraroma kuat",5,05/22/2025 15:05:57
Goa Lowo Trenggalek,Lisdiana Delani Arum,,3,05/20/2025 08:52:36
Goa Lowo Trenggalek,Joko Supriyanto,,5,05/20/2025 03:01:56
Goa Lowo Trenggalek,Wildan Jhon,,5,05/12/2025 22:46:42
Goa Lowo Trenggalek,Depy Novis sari,,4,05/12/2025 14:15:48
Goa Lowo Trenggalek,Atik Diana,,5,05/03/2025 07:25:51
Goa Lowo Trenggalek,nicky minaj,"Padahal goa nya besar dan bagus, aksesnya juga sangat mudah, dekat dengan jalan raya, tapi kenapa sepi ya? pas aku kesana, tempatnya kosong, gak ada orang sama sekali, gak ada orang jualan juga, agak horor juga kalo eksplor ke dalam goa sepi.
Goa bisa di eksplor tanpa senter, goanya sudah agak terang, tapi semakin ke dalam semakin gelap dan licin, banyak kotoran kelelawar di melapisi seluruh sudut goa, kalo sudah mencapai sungai gelap di pojokan, jangan dilanjut dah, kotor banget soalnya, banyak kotoran kelelawarnya.
Bagi yg suka goa, tempat ini harus di kunjungi, spot fotonya juga lumayan banyak.",5,05/02/2025 04:53:00
Goa Lowo Trenggalek,luthf musthf,,4,04/28/2025 01:41:24
Goa Lowo Trenggalek,perdana surya,"Dtg sabtu jm10an msih sepi,
Gua ny luas,
Ad lampu, tp disarankan bawa senter spy bs leluasa melihat",5,04/22/2025 21:56:05
Goa Lowo Trenggalek,Teguh wibowo,Pedagang ramah dan sembako dan Snack komplit,5,04/12/2025 11:41:53
Goa Lowo Trenggalek,ABD GHOPUR,Indah banget tpi sepi pengunjung,4,04/10/2025 06:17:45
Goa Lowo Trenggalek,Yeni aw,"tempat yg sangat estetik🥰🥰🥰
yg suka horror sebaiknya berkunjung di jam 17:00",5,04/10/2025 00:42:41
Goa Lowo Trenggalek,Ari Purwandito,,5,04/08/2025 09:15:25
Goa Lowo Trenggalek,Adma Febri,,3,04/05/2025 02:49:37
Goa Lowo Trenggalek,Dymas Mahfud saputra,,5,03/15/2025 01:58:55
Goa Lowo Trenggalek,hasam Widjojo15,Eksotik 👍👍👍👍,5,03/11/2025 14:37:49
Goa Lowo Trenggalek,Kurnia Dewi,Tempatnya bersih dan tertata,5,03/06/2025 16:02:41
