name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Baka. exe,"Kolam renangnya sudah bagus tapi saran jika ada les renangnya dikasi pembatas antara yang les sama umum biar ga keganggu,saya kesana waktu ada les renang dan ya saya gabisa renang karena sudah full dipakai utk les renang,semoga dibaca tysm",3,05/30/2025 03:26:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Des Leon,"Kolam renangnya selalu dimonopoli kalo ada yang les renang, kualitas air buruk banget lebih ke banyu ijo daripada banyu biru trus jarang banget dikuras dengan kaporit yang banyak banget. Saran klo ada yang les renang paling nggak dikasih tali pembatas lah setengah² dikira kita yang umum nih nggak keganggu apa??, trus kuraslah itu banyak keramik pecah bahaya tau gak?. Semoga dengan adanya komentar saya ini bisa segera berbenah sih.

edit: nahh baru dikuras nih, gercep yang punya, tapi sayangnya belum ada solusi buat yang les renang masih sering mengganggu",2,05/20/2025 05:52:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Diana Prasetyawati,,5,05/16/2025 08:22:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Fatata A'izza Rosyada,,5,04/18/2025 18:52:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Inditsania 247.,,5,03/21/2025 03:43:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Arrow Zhack`,Banyak kutu air...,3,02/16/2025 13:56:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,NRAS,,5,01/31/2025 10:32:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Martha Dewi,"Bersih, bagus, rindang, ramai pengunjung.",5,01/14/2025 22:00:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,R.K.W,,5,12/26/2024 03:48:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Silvia Andaresta,,5,11/24/2024 08:57:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Tua Nakal,"Air jarang dibersihkan,sangat kotor banyak hewan kecil² gigitin kulit jadi gatal²",1,11/15/2024 05:33:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Syahana Putri,,5,11/10/2024 02:33:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,zizah tinto,,4,10/27/2024 08:57:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,HopesAndDream “Hopes”,,4,10/25/2024 00:55:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,MrBajdi,"Całkiem przyzwoity basen, w sam raz na popołudniowy relaks",4,10/20/2024 12:56:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Elsmeyti Indra,"kolam renang banyu biru, tapi airnya ijo 😅",5,10/20/2024 03:49:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Dama Mei,"Untuk pagi jam 6 masih sepi, jangan coba2 kesini agak siangan. Kayak dawet wkwk",5,09/29/2024 08:56:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Yahya Rais,,5,06/17/2024 03:57:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,ILMI FILDAN FAUZI,,3,06/06/2024 04:04:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,KTv Kafin The Vinc's,"Tempat nyaman,Tiket terjangkau",5,05/24/2024 05:38:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Duo H Gaming,"Kualitas air kotor, berlumut, dan banyak kutu/binatang kecilnya. Kurang perawatan aja, utk harga masuk yg di tawarkan tidaklah sebanding. Lokasinya pun masih tergolong pedesaan terpencil.",1,03/11/2024 08:32:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,ione abdillah,Murah. Dekat kota. View luar masih sawah dan kebun. Udara asri.,5,02/10/2024 04:07:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Nawangsih Genta,"Bersih, adem, langganan kesini sama besti",4,01/27/2024 16:04:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,maslucky delamo,Murah meriah,5,01/22/2024 04:24:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Chinthia (여신달),,3,12/24/2023 09:21:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Tantin Istikah,Sangat bagus,5,12/18/2023 06:11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Sherly Anggraini,Kolam renang bersih. Hanya saja mushola nya sangat kotor. sering ada kotoran hewan. padahal harusnya mushola bersih dan suci. Tolong lebih diperhatikan lagi ya,4,11/21/2023 12:10:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Catur Destunol Sasono,,5,11/14/2023 22:37:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,adit akun umum medsos,"lumayan, tapi kurang gede",5,08/29/2023 06:01:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Re ZZz,Good,5,08/01/2023 13:32:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,NIZAR RAJENDRA,Banyak kutu,1,06/30/2023 01:48:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Ani Lau,Baik sekali,1,06/22/2023 11:30:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Wisma nuhgraha 8E 30,,5,06/18/2023 08:14:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Susi Wulandari,"Kolam renang nya cukup bersih, nyaman dan asri.  Ada gazebonya juga bisa untuk istirahat dan makan2. Untuk kolam renang hanya ada 2 ukuran 1.5m utk dewasa dan kolam untuk anak2. Lebih aman antara kolam renang anak dan dewasa ada pagar pembatasnya. Harga makanan dikantin juga cukup wajar meskipun ada ditempat wisata.",5,06/04/2023 09:54:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Winata Tole,"Tempatnya bagus,banyak pengunjungnya tiap hari.saya dari Majalengka Jawa barat terkesan dengan kolam renang BANYU BIRU pokoknya mantaplah sukses selalu buat pemilik kolam renang BANYU BIRU.",5,05/29/2023 08:23:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Boss Nanok Official,,4,05/13/2023 08:56:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,sugi arto,Rekomendasi pokoknya,4,04/28/2023 01:48:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,Marcel G,,5,04/26/2023 11:06:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang BANYU BIRU,nino divertente,"Rab, 22 Maret 2023

Hati hati untuk pengunjung anak anak. Di kolam anak, beberapa keramik ada yg lepas.",3,03/22/2023 07:33:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
