name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Almira Islamadina,"kolam renang nya sepii
gak terlalu dalam
air nya gak kotor",5,04/08/2025 09:47:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Syauqi Mushoffa,,3,11/23/2024 08:42:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,nunuk mahanani,,4,11/26/2023 02:46:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Emha Husnan Wahid,,5,05/29/2023 21:58:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Jesicca Aulia,Waktu bukak belum buka ini gimana ya telek,1,02/25/2023 02:02:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Sindia Nurlika,Harga tiket masuknya berapa,5,02/05/2023 01:21:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Nindy Qory,,4,11/01/2022 06:49:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,tri santoso,,5,03/01/2022 02:22:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Ana Miandani,dekat rumah jadi lebih mudah kalau mau renang,5,10/17/2021 07:42:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Luthfi Phesek,Airnya tidak terawat,3,01/16/2021 10:48:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,-Paradoxz,Tempat yang menyenangkan.,5,01/06/2021 13:02:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Reni Rahmawati,,5,05/21/2020 12:53:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,lina zumrotul,Tempatnya bagus dan luas tetapi tidak dirawat dengan baik,2,12/29/2019 06:42:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Ibnu Ghisyam,Lumayan,3,10/08/2019 01:47:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Pendi Kuyy,,4,07/02/2019 14:26:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Aditya EkaW,,5,04/23/2019 13:15:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,EKA mas duha romatilah,,3,04/09/2019 04:10:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Nico Dejavu,berenang,5,02/07/2019 11:01:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Wahyu Oktaviani,Sebaiknya lebih di bersihkan tempatnya soalnya agak kotor,3,01/23/2019 06:53:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,07 Atitar Aliwa Kahfi,,4,08/12/2018 10:26:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Irwan Ganescha,Kolam renang bebas untuk siapapun. Silahkan berkunjung.,5,04/23/2018 12:16:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Davinza Garenk,,1,04/01/2018 02:49:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,Antin Mayang,,1,02/11/2018 22:45:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolam Renang Sumber Agung,xeriy bhowo,😀😀😀😀,2,02/07/2018 19:10:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
