name,author_title,review_text,review_rating,review_datetime_utc
Pantai Karanggongso,ANAK PANTAI,,5,06/07/2025 13:19:39
Pantai Karanggongso,Adam Udi Velianto,"Rekomendasi Kalo untuk Liburan, Apalagi Bersama Keluarga 🌊",5,06/07/2025 05:50:25
Pantai Karanggongso,Zahwa N,"Bagus + keren pantai nya, tapi aku kesini pas lagi kotor ya sayang banget 🥺, kalo yg di pasir putih nya aku belom mampir sih",5,06/07/2025 05:35:42
Pantai Karanggongso,FIKY Maulana,"Ikan bakar fresh pantai lumayan bersih
Tidak ada uang rokok buat driver tidak ruang tunggu-istirahat driver
Padahal di pantai sebelah ada",2,06/06/2025 14:49:10
Pantai Karanggongso,Joko Suhantono,"Pantai yg jg indah di sebelah pantai mutiara,dg berbagai menu masakan laut,menambah daya tarik tersendiri",5,05/31/2025 13:36:30
Pantai Karanggongso,Dewi Puspita sari,"Pantainya rame , puas buat berenang , tp sayang sampahnya kurang di kelola dg baikk",5,05/29/2025 03:43:57
Pantai Karanggongso,sitimiftakhul khoiriyah,Bagus pantainya. Makanan harga tidak terlalu mahal,5,05/24/2025 01:45:38
Pantai Karanggongso,Mohammad Zakaria,Pantainya bersih tertata rapi pengelola baik. Luarbiasa jajanan di tempat murah,5,05/22/2025 07:32:07
Pantai Karanggongso,Merlin Arbaiyah,"Recomend buat liburan sama bocil ,terbaik",5,05/20/2025 13:57:38
Pantai Karanggongso,all fine,,4,05/13/2025 23:29:31
Pantai Karanggongso,Anik Primawati,"Kedatangan ke-2 di pantai ini, kali ini viewnya sangat cakep 🥰

Airnya bersih

Bs naek banana boat & perahu dgn harga yg worth it banget

Kamar mandinya bersih2 semua 👍
Kebersihan pantai terjaga",5,05/12/2025 14:31:26
Pantai Karanggongso,Adi Glewo,Bagus banget 👍👍👍,5,05/11/2025 11:17:22
Pantai Karanggongso,WONG PEPE,Ramai dan adem,5,05/11/2025 05:40:27
Pantai Karanggongso,nabila can sabrina,,5,05/09/2025 10:05:20
Pantai Karanggongso,Intan Margawati,"Pantainya nyaman tidak terlalu ramai, ombaknya tidak tinggi, pemandangannya indah",5,05/03/2025 06:27:17
Pantai Karanggongso,Risky Saputra,,5,04/30/2025 06:27:44
Pantai Karanggongso,nicky minaj,"Pantainya terlihat bagus pada saat air pasang, kalo pas surut, jadi kering dan berkarang karang, bisa juga eksplor karangnya kalo mau.",5,04/30/2025 05:14:55
Pantai Karanggongso,khaula Andika,Good guys,5,04/29/2025 02:14:04
Pantai Karanggongso,ananda amalia,,3,04/26/2025 10:30:14
Pantai Karanggongso,Rizky Ayu,,5,04/21/2025 14:10:19
Pantai Karanggongso,Fina Talia Setiarini,tempatnya bersih trs rekomen bgt buat yg suka foto² gitu,5,04/17/2025 14:04:03
Pantai Karanggongso,Umi Sholikhah,,4,04/14/2025 02:29:29
Pantai Karanggongso,Meisya Putri,,5,04/13/2025 01:32:05
Pantai Karanggongso,Erlisa Aduhai,Pantai alami indah dan cocok buat liburan bersama keluarga,4,04/12/2025 08:33:44
Pantai Karanggongso,LINGGA WENING,"Hargai & pelihara Alam ,, yg ada disekitar ../ dimanapun berada..
Sesungguhnya semua itu bagian dari diri kita...🙏",5,04/10/2025 06:45:29
Pantai Karanggongso,Achmad Lerby,,5,04/08/2025 05:32:18
Pantai Karanggongso,BAYU AJI SAPUTRO,"Bayar 1 dapat 2 pantain, menarik dan bersambung",5,04/06/2025 05:51:05
Pantai Karanggongso,Samurbandy Vlog,Cocok untuk keluarga,5,04/04/2025 17:44:12
