name,author_title,review_text,review_rating,review_datetime_utc
Pantai prigi,Nehemia Andrinugroho,Cmsebentarliay2tpwaktu itu blm ada smartphonejadi gak bisa foto2,1,06/14/2025 23:14:10
Pantai prigi,Rubai Servis Electronik,,5,06/10/2025 14:27:22
Pantai prigi,Alby Jaya,,3,06/08/2025 08:50:30
Pantai prigi,Wahyu Kurniawan,"Pantai terindah yang pernah aku kunjungi, pantai nya bersih 🥺🥺
Bakal terukir kenangan",5,06/02/2025 06:21:03
Pantai prigi,Mochamad kahfi mufariq,,5,06/01/2025 09:27:41
Pantai prigi,achmad yuzar,,5,06/01/2025 04:15:01
Pantai prigi,Sawung Dahana,Sangat berkesan,5,05/31/2025 04:09:57
Pantai prigi,FALS YUDISTIRA,,5,05/30/2025 12:45:09
Pantai prigi,Muhammad Erik,,3,05/29/2025 02:16:59
Pantai prigi,Rizki Dewi Astriani,,5,05/28/2025 05:25:34
Pantai prigi,MCH SAifudiN,Lumayan,4,05/27/2025 14:06:22
Pantai prigi,darel zuhan363,,5,05/26/2025 05:53:12
Pantai prigi,Ella Fitriya,Agak kotor sekarang,3,05/16/2025 02:57:41
Pantai prigi,Ami Yuli87,Amazing,5,05/14/2025 22:03:23
Pantai prigi,Hariadian,Pasir putih,5,05/12/2025 11:46:05
Pantai prigi,Miftah Labib,,5,05/10/2025 07:07:33
Pantai prigi,Teguh Ribut Subekti,Pantai dulu cukup bagus dan nyaman asri banyak ikan asap yang dagang di situ mantul,5,05/08/2025 12:24:53
Pantai prigi,nicky minaj,"Di ibaratkan sebuah baju, pantai prigi adalah baju merk Luis Vuiton yang tidak pernah di cuci selama 5 tahun, uda bau, berjamur, kotor dan compang camping.
Kalo orang yg datang sebentar buat main ke pantai, apalagi pantainya habis di bersihkan, pasti mereka bilang pantai prigi itu Bagus.
Tapi coba lihat di daerah sekitarnya, ada industri pengolahan ikan yg limbahnya di buang sembarangan, bau banget dan penuh bakteri, sisa2 limbah itu menumpuk di sungai dan tanah sekitar terus bercampur ke pantai prigi. Bikin muntah kalo di ingat.
Kalo emang niat untuk memperbaiki pantai Prigi, buat solusi untuk limbah itu, jangan tutup mata.",1,05/01/2025 10:47:46
Pantai prigi,Alya Melisa,,4,04/28/2025 15:09:15
Pantai prigi,ENDANG WERDININGSIH,"Lomba Mural Guru antar Komli, lomba nduk & le, dan lomba duta enterpreneur antar siswa dalam rangka Hari Kartini 2025. SMKN 2 Nganjuk emang beda ... Yeach³ 🎉🔥💐",5,04/28/2025 05:39:20
Pantai prigi,Andi Syahri,Sejuk sekali,5,04/25/2025 05:10:55
Pantai prigi,Mustika Hasyim,pantainya kotor,3,04/18/2025 10:32:00
Pantai prigi,DWI RUDY PURNOMO,,5,04/17/2025 15:47:41
Pantai prigi,Irfan Mahfudzi,Nice place,4,04/12/2025 09:25:11
Pantai prigi,agus,"Bagus, area pantai luas, byk pohon jadi adem, gazebo juga byk,",4,04/08/2025 09:26:21
Pantai prigi,Prast Putra,nice place,5,04/06/2025 15:30:29
Pantai prigi,Virna,Patai yang indah cantik suasana di sana sejuk enak,4,03/29/2025 00:54:58
Pantai prigi,beddor kitty,,5,03/23/2025 14:38:52
Pantai prigi,Rohmad Bintoro,puas,5,03/15/2025 02:06:13
Pantai prigi,Andy Wijayanto,Pantai prigi sangat myaman buat liburan anda,5,03/11/2025 05:44:29
Pantai prigi,skuy Living,Bagian loket mau ke jembatan kembar tidak ramah,1,03/04/2025 22:16:52
Pantai prigi,WindaR,,3,03/03/2025 03:25:04
Pantai prigi,Asa Fauzan,Seru untuk rame rame,5,02/18/2025 06:51:02
Pantai prigi,tb al hurriyah,Pantai nya bagus,5,02/18/2025 05:32:56
Pantai prigi,Bellarizky,,5,02/12/2025 07:24:06
Pantai prigi,sukarno karno,,5,02/11/2025 01:44:56
Pantai prigi,Suprayitno 531602,,5,02/08/2025 15:19:24
Pantai prigi,Gus Yanto,Ke 3 kali main ke sini ..semakin bagus dan asri ..kombinasi pas untuk dapat durian + ikan laut,5,02/08/2025 06:42:38
Pantai prigi,Rini Ariyanti,,5,02/04/2025 05:01:54
Pantai prigi,rafif Ezet,Pantainya indah tapi sayang banyak yang kurang menjaga kebersihan,5,02/02/2025 13:06:09
Pantai prigi,madfajr,pantai jelek jgn kesini biar gw sendiri yg disini,5,01/30/2025 00:21:14
Pantai prigi,boncel slank,Sangat indah,5,01/29/2025 23:12:44
Pantai prigi,Dewi Sinta,,4,01/25/2025 11:11:50
Pantai prigi,DEWA DEWA,Enak untuk mancing,5,01/18/2025 06:02:28
Pantai prigi,Achmad Bisri cholfi,,5,01/18/2025 05:01:23
Pantai prigi,agus susanto,Jalur lintas selatan ( JLS ) Provinsi Jawa timur memang  terbaik..👍👍👍,5,01/17/2025 04:23:54
Pantai prigi,Rafly Arya,,5,01/14/2025 11:17:33
Pantai prigi,Potak To,"Pantainya bersih sekali, suasananya sangat cocok untuk healing, ada dermaga juga yang enak buat mancing, sepanjang perjalanan viewnya indah",5,01/08/2025 12:30:59
Pantai prigi,Warok Alims,Tempatnya indah siapa yng berkunjung ke trenggalek wajib di kunjungi,5,01/06/2025 07:29:18
Pantai prigi,Anita Gunawan,Saya bakal kembali ke pantai ini...mirip seperti pantai2 di Bali...cuma ga ada bule nya...tastenya berasa kayak di Kuta Bali atau di pantai Double Six Seminyak Bali...ombaknya gede..cocok misal buat para bule buat surfing atau permainan air lainnya..bermain air dari siang sampe sunset ga berasa..tau² udah gelap aja...seneng banget kalo pantai ini menjadi salah satu bali baru dan salah satu destinasi wajib berwisata di jawa timur..,5,01/06/2025 07:05:39
Pantai prigi,heny dwi,,5,01/03/2025 12:20:59
Pantai prigi,Muhammad Azlansyah,,5,12/28/2024 12:33:57
Pantai prigi,Robert Marpaung,,4,12/26/2024 10:35:11
Pantai prigi,Nrutus fishing,Tempat yang sesuai bersama keluarga menikmati keindahan alam,5,12/25/2024 06:31:11
Pantai prigi,Maya Andriani,,5,12/21/2024 10:33:02
Pantai prigi,Arka Purwaningtyas,,5,12/07/2024 23:02:29
Pantai prigi,Akun “Binti chomsiyati” Infinik,Pantai,4,12/03/2024 02:50:48
Pantai prigi,Pandannirma&6277 Dandan,Sekarang pantai prigi gak boleh direnangi,1,11/30/2024 09:25:52
Pantai prigi,BG RIDS MP3,Banyak sampah di pinggiran pantai,3,11/30/2024 01:44:09
Pantai prigi,Afik Debi Hadiyanto,"Datang kepagian sekitaran jam 6. Di pintu masuk belum ada petugas retribusi, jadi tidak bayar😁. Bentangan pantai pasir putihnya cukup panjang, tetapi cukup kotor oleh sampah. Angin cukup kencang dan ombak cukup besar. Sebenare fasilitas pendukung seperti gasebo, kantin, toilet dan parkiran memadai.",3,11/27/2024 06:34:47
Pantai prigi,Sugianto Sugianto,,5,11/25/2024 23:37:54
Pantai prigi,Puji215 Yeni,,3,11/25/2024 08:46:31
Pantai prigi,Achmad Rizal,,4,11/20/2024 02:19:40
Pantai prigi,Eric Suwandi,,5,11/15/2024 23:40:10
Pantai prigi,thalenta dhea,,5,11/07/2024 12:18:50
Pantai prigi,putut agus prasetyo,,5,11/02/2024 01:40:23
Pantai prigi,Nastika Arum,Bagus rekomendasi untuk bersantai dengan keluarga.,4,10/28/2024 06:37:25
Pantai prigi,Romi romie nurdiansyah,"Melayani iring2 nikahan, wisata, silaturahmi kemana saja.harga bervariasi menyesuaikan yg pasti amanah",5,10/27/2024 05:28:35
Pantai prigi,Habib Bilal,Masih terdapat sampah di bibir pantai meskipun tidak banyak....,5,10/18/2024 09:48:33
Pantai prigi,Raden Mas Ryann Lynoxx,"Main kesini pas banget kebetulan cuaca lagi kurang bersahabat, ombak tinggi menghantam terumbu karang, Tapi lumayan okelah, walaupun keliatan nya serem. Kalau liat ombaknya.",5,10/17/2024 16:11:10
Pantai prigi,Feri Irawan,,1,10/15/2024 10:50:23
Pantai prigi,yuli green,,4,10/04/2024 06:30:37
Pantai prigi,Ditya m riziq rizqi,Pemandangan yg menakjubkan,5,10/01/2024 22:19:31
Pantai prigi,choirul rahma,,4,09/28/2024 07:42:01
Pantai prigi,AditSlamet,Pantai yang indah dengan pemandangan alam yang alami dan asri udara sangat sejuk cocok buat berlibur dengan keluarga maupun teman,5,09/23/2024 13:39:23
Pantai prigi,Mohamad Nadzif,Adem,4,09/19/2024 07:31:35
Pantai prigi,annur Chanel,Bgus indah,5,09/16/2024 11:59:35
Pantai prigi,Aris Gunawan,,5,09/16/2024 11:59:34
Pantai prigi,Nurul Hidayati,"Pantainya sangat bagus. Bisa naik perahu menuju pulau kecil.
Oleh-oleh ikan asapnya mantap.",5,09/08/2024 20:15:50
Pantai prigi,taman haryono,,5,09/07/2024 12:23:45
Pantai prigi,Aly Zainal Abidin,Rebo Wekasan,5,09/04/2024 05:13:54
Pantai prigi,Andre Pratama,Seru sekali,5,09/01/2024 09:45:55
Pantai prigi,Laili Kn,,5,08/27/2024 04:30:51
Pantai prigi,Indah Yuliatin,Sepanjang pantai banyak perahu nelayan. Rame banget waktu itu pantainya.,5,08/23/2024 13:04:29
Pantai prigi,sunarto lanang,Bersih elok dan menarik untuk dikunjunhi,5,08/21/2024 14:53:20
Pantai prigi,Deniv Satrya,,5,08/14/2024 16:45:55
Pantai prigi,Linda Widiawati,,5,08/09/2024 06:39:45
Pantai prigi,Tri Lestari,,4,07/29/2024 16:45:00
Pantai prigi,Muhammad Erik,Pantai yg indah bersih ok banget,5,07/28/2024 15:01:44
Pantai prigi,Insan Rochman,,5,07/22/2024 03:23:20
Pantai prigi,Hamam Burhanudin,"kalau siang bagus, pantainya tidak dalam tapi arus cukup kuat, jadi harus hati-hati kalau berenang",4,07/20/2024 05:27:02
Pantai prigi,dyan suci harfiana,"Indah pantainya, tiket masuknya murah 2 dewasa 2 anak2 35.000 itu sudah termasuk biaya parkir mobil.
Mohon untuk para pengunjung yuck, ikut jaga kebersihan, sayang kn pas main di pasir tiba2 ada sampah.",4,07/17/2024 08:27:59
Pantai prigi,Mochamad Ahmad,"Tempat yang ramah untuk bermain anak-anak,
Bagus dan indah",5,07/17/2024 05:17:16
Pantai prigi,Didik Prayitno,Pas liburan,5,07/16/2024 11:10:40
Pantai prigi,Chandra n Cristabella,,5,07/16/2024 05:56:33
Pantai prigi,Widodo Wijono,Bagus,4,07/15/2024 06:23:16
Pantai prigi,Mochamad Farid Ubaidillah,Ramai saat liburan,5,07/08/2024 14:45:13
Pantai prigi,Sabrina Khoirunnisa,"Haven't been here for a long time and it turns out there have been a lot of big changes here. The facilities are getting better. Especially, the mosque. It is clean and comfortable. I bought fresh smoked fish and squid. When I went there, the wind was very strong and it was drizzling. So I didn't do much activity. My father got a lot of small crabs from the beach sand. Very pleasant.",5,07/06/2024 12:06:29
Pantai prigi,Cak Fan Chanel,"Bersih
Rapi
Ramah Ramah penghuninya",5,07/06/2024 04:00:39
Pantai prigi,NEZAR ABDILLAH AWI,,5,07/05/2024 13:52:53
Pantai prigi,Kaka Kurniawan,Tambahkan area bermain anak,3,07/03/2024 03:44:46
Pantai prigi,Sabar Riyadi,"Tempat yang indah nyaman dan aman, bisa melihat aktivitas nelayan jaring tarik di pantai, melihat pelabuhan perikanan nasional terbesar di pantai selatan Jatim, tempat pelelangan ikan dll,",5,07/01/2024 01:14:08
Pantai prigi,Erik Hendriyanto,,5,06/30/2024 07:56:02
Pantai prigi,slamet subagyo,,5,06/30/2024 06:25:34
Pantai prigi,wong deso,Mantulllll,5,06/29/2024 21:24:45
Pantai prigi,Hikmah Fajri,Lagi lagi pas mendung pas kesini. Deket bgt sm TPI banyak kapal nelayan juga.,4,06/29/2024 08:26:33
Pantai prigi,Ainun Khumairoh,,5,06/24/2024 23:33:34
Pantai prigi,Robby Dhanny,,5,06/24/2024 14:28:16
Pantai prigi,Poerwo Bintoro,,5,06/24/2024 14:10:31
Pantai prigi,falden mahendra,,5,06/23/2024 15:41:01
Pantai prigi,Dayanti Dadiningrum,Pantainya cantiq,5,06/18/2024 01:52:31
Pantai prigi,Munjirin jirin,Bagus,5,06/15/2024 06:06:14
Pantai prigi,Sunarko,Bagus,5,06/10/2024 04:56:44
Pantai prigi,Ardi,"tolong lebih dijaga keberaihan pantainya, selebih bagus banget",4,06/01/2024 12:14:22
Pantai prigi,Dedi Noviyanto,Murah meriah dengan pantai yang bersih dan asri,5,05/23/2024 06:25:23
Pantai prigi,Eliza shinta Risma,"Baguss banget,  masuk bestt moments di hidupku hehe",5,05/20/2024 06:10:54
Pantai prigi,Hepi Dwi efendi,bagus pemanadanganya sayangany  pantai tidak bersih dipasirnya,4,05/16/2024 04:40:52
Pantai prigi,Shanty,"Sebenernya bagus kok pantainya, kelihatan beberapa perahu mulai layar kalo sore, tapi skrg kotor banyak banget sampahnya. Beberapa penjual juga agak mengganggu, jualannya agak maksa.",3,05/13/2024 09:09:31
Pantai prigi,khoirul huda,"Seru bgt klo main kesini, ikan bakar murah murah. Apalgi sebelahnya ada lelang ikan",5,05/11/2024 04:57:34
Pantai prigi,yahya travelista,"Dulu pantau ini nge-hits sebelum ada pantai pantai baru disekitar nya,tapi selalu menyempatkan kesini kalau lagi kerumah saudara yg di Trenggalek",4,05/07/2024 08:56:09
Pantai prigi,Yusron Romdoni,Yg menarik pantainya dan pelilangqn ikan,5,05/04/2024 12:58:56
Pantai prigi,Kholiq AB,,5,05/03/2024 09:39:10
Pantai prigi,Ryan Yustiano,"lumayan bersih, tiket masuk 10ribu /orang, 2ribu /motor",4,05/01/2024 00:25:06
Pantai prigi,friendly drakness,"pantai cukup bersih, wahana juga cukup banyak dan seru, akses jalan sangant menyenangkan dengan lewat JLS memiliki pemandangan yang indah, dan banyak spot foto.",5,04/30/2024 06:33:19
Pantai prigi,Dina Khazanah,"Pantainya baguss, cuma disarankan kesana pagi atau sore saja. Kalau siang ya panas. Jangan lupa sedia topi, kacamata, dan sunblok yaa",5,04/27/2024 11:28:56
Pantai prigi,Luayyi Faroidah,baguss banget sunrisenyaa cmn di pinggirannya lumayan kotor krn sampah,5,04/18/2024 14:17:19
Pantai prigi,Bhisma Hedeansyah,Ombak besar,4,04/16/2024 11:51:25
Pantai prigi,Lukman Prasetya,,5,04/15/2024 15:36:12
Pantai prigi,Fatur Rahman,Tolong di jaga kebersihannya terimakasih,4,04/15/2024 10:31:45
Pantai prigi,eko rudianto,"Pantai yang sangat indah dan bersih, melihat sunrise dan sunset yang sangat romantis. Kulinernya juga enak2, parkiran luas serta fasilitas yang beragam dan memadai, baik untuk anal2 maupun orang dewasa.",5,04/15/2024 00:13:57
Pantai prigi,Anas Bahtiar,"Pantainya bersih, viewnya bagus, ombaknya gak terlalu besar jadi aman buat berenang anak-anak, toilet dan airnya bersih... Pas buat liburan keluarga... Terbaik deh pokoknya...",5,04/13/2024 08:41:48
Pantai prigi,helena tania,View best dah👍🏼🥹,5,04/12/2024 08:18:04
Pantai prigi,Jesha Anggita,"Tempat Nya Nyaman, pemandangan nya Indah , aksesnya mudah",4,04/11/2024 08:40:39
Pantai prigi,supra yogi,,4,04/06/2024 12:55:31
Pantai prigi,Elda Susanti,Free wifi,5,03/30/2024 18:25:44
Pantai prigi,Ulfa Rifaza,"Kesini lagi setelah sekian lama,
Tiket masuk 45rb untuk 3 org dewasa sm 2 anak-anak, kami bawa mobil
Banyak yg jualan jajanan, makanan, dsb
Ombak lumayan gedhe
Dateng pas mendung jd sunsetnya ngga begitu kelihatan",4,03/16/2024 02:48:42
Pantai prigi,May Amilush,"Pantai yang indah di Trenggalek. Harga tiket 10k untuk dewasa 8k untuk anak”. Parkir mobil 5k. Kesana pas hari sabtu. Harga tiket weekend weekday sama yaa. Aksesnya mudah banget, bagus lagi kalau dari Tulungagung enak lewat JLS (pantai klatak lurus aja ngikut JLS.",4,03/11/2024 13:48:32
Pantai prigi,Cindy Maya,,5,03/08/2024 09:11:32
Pantai prigi,As rofi,,3,03/07/2024 07:55:00
Pantai prigi,Debora Irawati Gunawan,,5,03/01/2024 06:20:33
Pantai prigi,BLAKRAAN VESPA,Sepi pengunjung untuk hari biasa,4,02/29/2024 16:14:23
Pantai prigi,Putra Mentari,"Lokasinya di selatan Trenggalek, jalurnya naik turun gunung meliuk2, tapi sangat sejuk dan asri, di kanan kiri jalan bisa melihat pohon durian semua. Pantainya bagus, ombaknya agak tinggi jadi bahaya untuk main air, yg suka sepi ini mungkin cocok, tidak banyak orang, jauh dari hiruk pikuk.",4,02/29/2024 12:01:01
Pantai prigi,Purwanto Alfino,,5,02/27/2024 05:13:31
Pantai prigi,Dhaniel Dwi saputra,Mantab,5,02/26/2024 06:09:49
Pantai prigi,Putro Romo Channel,,5,02/24/2024 06:49:10
Pantai prigi,ILMI FILDAN FAUZI,,3,02/23/2024 03:22:00
Pantai prigi,hyogie almunqidh'z,,5,02/19/2024 05:52:44
Pantai prigi,Ellys Mukaromah,nuansa romantisnya dapet banget. akses ke pantai mudah.,5,02/18/2024 11:07:52
Pantai prigi,K Kaisriro,,5,02/14/2024 02:28:44
Pantai prigi,Rizal J.Niarto,"Pantai yang sudah lama jadi Iconnya Kabupaten Trenggalek. Ada bagian pantai yang berpasir putih untuk menikmati deburan ombak dan pemandangan teluk Prigi.

Salah satu wahana disini adalah Banana Boat, tapi dilarang berenang dipantai karena ombaknya yang lumayan besar disini.

Pada sisi Timur merupakan kawasan perikanan, tempat berlabuhnya perahu-perahu nelayan dan Tempat Pelelangan Ikan.

Tempat belanja ikan segar yang murah, selain  itu juga ada yang jual ikan dan gurita asap.

Tiket masuk 10K per Orang..",5,02/08/2024 13:16:18
Pantai prigi,Phe'y Anggoro,PANTAINYA ASIK BUAT REKREASI....,5,02/07/2024 00:23:34
Pantai prigi,Abraham R.,"lokasi asli pantai prigi lama, dulu sepi gak ada apa2, sekarang warung2 berderet dengan cukup rapi, menyediakan macam makanan buat yg lapar, dengan harga yg wajar. sekarang pantai ini kurang ramai, kalah dengan pantai2 baru yg lbh bagus..",4,01/27/2024 04:45:06
Pantai prigi,Arkaana Kaureena,"lebih sepi drpd karanggongso&mutiara, jd lebih tenang cocok buat introvet 🤭,parkir juga luas apalagi depan pujasera. byk homestay & ada hotel prigi (kamar menyesuaikan harga). pujasera banyak, buka dari subuh sampe malam,buat yg camping ga perlu takut kelaparan. harga makanan & minuman relatif murah (tanya harga dulu gpp), ikan bakar 8-10rb/ons bisa pilih sendiri ikannya, degan utuh 11rb, nasi seporsi kuli cuma 5rb, modal 120rb udah dapet ikan bakar 8ons (bisa buat 4 porsi lebih2), nasi 3 porsi (porsi kuli bisa buat 5org), degan 3 butir.",5,01/21/2024 09:41:19
Pantai prigi,petuah sejarah,"Kondisinya agak kumuh, kebersihan kurang terperhatikan",2,01/15/2024 05:07:49
Pantai prigi,Arifin Wahyudin Fatkhurahman Syah,,5,01/11/2024 00:41:01
Pantai prigi,Eko Budiono,,5,01/09/2024 08:38:17
Pantai prigi,Mahmuda al,"Pantai dengan ombak yg mantap seperti ombak di M Beach Lampung
Kesana pas liburan jadi ramai.",4,01/08/2024 02:55:11
Pantai prigi,Ilham Alif,,5,01/05/2024 20:21:40
Pantai prigi,Paktris Kohan,,4,01/03/2024 05:23:03
Pantai prigi,Budi Setyantoro,Pas kesana awannya bagus bentuknya,5,01/01/2024 23:48:19
Pantai prigi,Anik Primawati,"Sampe sini pas sunset so dp view bagus..
Ombak cukup jd enak buat maen air
Air lautnya bersih, pasir pantainya jg bersih

Syng kamar mandinya kurang terawat,, pdhl desaign pantainya uda proper",5,01/01/2024 12:17:02
Pantai prigi,Wildan Naufal,"Pantainya indah poull,,,, seru gaesss, tahun depan pas tahun baru nginep deh... Pingin liat pantai dijam 5 pagi",4,12/31/2023 10:48:41
Pantai prigi,Yuyud Utomo,Pantainya bersih. Tempat bilas banyak. Parkir luas...,5,12/30/2023 02:57:06
Pantai prigi,Farhan08 kediri,makanan nya mahal,5,12/28/2023 05:16:17
