name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Kenko M. Nasrulhaq,,5,01/01/2025 14:45:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Bara Primarta,,5,01/20/2024 02:18:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,farid al faridzi,,5,06/04/2023 10:47:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,zuddin sentrakaligrafi,,5,01/04/2022 04:03:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Wowrisang,"Tempat nya keren buat casting, jigging . Ikan nya berlimpah",5,12/31/2021 04:11:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Sakura,,4,10/20/2021 10:32:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Nur Lailatul Unzilah,,5,10/18/2021 13:28:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Baron Sakti,"Lokasi yg pas buat para angler..apalagi yg masih pemula..mau mancing siang atau malam tempatnya lumayan nyaman..ikannya lumayan banyak..apalagi kalau pas musim ikan layur sama cakalang..
cuma sayang kondisi toilet kurang nyaman..",4,09/26/2021 06:04:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Atma's Luqman Kang Luqman,,4,08/18/2021 02:24:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Om Djonod,"HTM murah, spotnya bagus ikan banyak wisata spot terbaik utk angler",5,08/02/2021 17:19:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,BADAS CHANEL,karna ke indahaannya,5,03/11/2021 01:19:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,fajar Anugrah123,Bagus,4,12/30/2020 01:42:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Coolrizk Boenthil,Cocok kalo buat para angler....Cuma 1 kurangnya kondisi toilet,5,11/11/2020 06:48:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Ayub 123,Mantap,3,10/03/2020 04:13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Aan Handika,Spot mancing yang mantap,5,07/07/2020 00:15:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah apung mutiara,Adam Taufan,Tempat yg bagus sekali untuk berenang dilaut lepas. Cocok untuk kawula muda yang haus tantangan. Tiket masuk sangat murah meriah dan suasananya sangat enak sekali bisa mancing bagi penggemar pancing.,5,02/13/2020 04:20:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
