name,author_title,review_text,review_rating,review_datetime_utc
Senden Ngerit cave Kampak,Lazuardi,"Site istimewa tapi tidak terawat.
Ada warung kopi milik penjaga tiket.
Sayang sekali perhutani tidak merawat site ini.

Tiket masuk 6ribu.",5,06/07/2025 10:32:03
Senden Ngerit cave Kampak,nicky minaj,"Tempat ini sudah agak terbengkalai, sepertinya orang daerah sini sudah bosen untuk berkunjung kesini. Tapi sebetulnya tempat ini sangat bagus ya, alami, natural, sejuk dan instagramable. Banyak sekali spot buat foto2an disini.
Pas kesini aku sendirian, tidak ada pengunjung lain sama sekali, sampai heran aku, padahal tempat seindah ini kok jadi kayak terbengkalai. Tempatnya luas ya, banyak yg bisa di eksplor.",5,04/30/2025 07:23:42
Senden Ngerit cave Kampak,Rendi S,,1,04/22/2025 02:06:38
Senden Ngerit cave Kampak,beddor kitty,,5,03/23/2025 14:43:37
Senden Ngerit cave Kampak,Nur Hayati (Unyii),,5,12/28/2024 05:02:25
Senden Ngerit cave Kampak,Saint fourty seven,Tempat ini pemandangannya biasa saja. Saya berangkat dengan teman saya dari Probolinggo ke Trenggalek. Butuh waktu sekitar 6 jam dan gk worth it untuk ke sini. Apalagi saya akhir pekan ke sini. Pengunjungnya sangat membludak,4,12/19/2024 07:06:52
Senden Ngerit cave Kampak,Arga Saputra,Jos,5,10/18/2024 09:40:39
Senden Ngerit cave Kampak,De Moon,,2,10/14/2024 11:10:17
Senden Ngerit cave Kampak,ian suhendra,"Cantik dan Alami banget tempatnya menurutku. Penuh dengan bebatuan yg keren bahkan beberapa titik mirip dengan batu Karst di Maros / Viet / Thai. Jalurnya explorenya cukup aman, ada beberapa titik area juga yang bisa kalian explore dengan spot utamanya di jembatan sungai. Suasanya sekitarnya juga sejuk jadi nyaman menikmati suasana.

Tapi saat ini mungkin butuh bantuan PEMDA sekitar juga untuk renovasi beberapa spot duduk / warungnya. Dan juga membantu menarik minat para wisatawan untuk berkunjung ketempat ini dengan menambah fasilitasnya.",5,07/23/2024 02:54:41
Senden Ngerit cave Kampak,Aang Cunaifi,,4,07/16/2024 12:46:55
Senden Ngerit cave Kampak,Adimas Ario Afrilando,One of the best spot in Trenggalek,5,05/11/2024 11:05:58
Senden Ngerit cave Kampak,Dila Pangan,Wisata bebatuan sesuai namanya Taman Batu Ngerit,4,04/29/2024 10:31:31
Senden Ngerit cave Kampak,Wasi'an Shodri,"Pemandangan indah, seperti sebuah tempat yang terbuat oleh alam langsung.",5,04/19/2024 08:52:53
Senden Ngerit cave Kampak,Pradita Abbimanyu,suasana trenggalek,5,04/13/2024 18:56:21
Senden Ngerit cave Kampak,amo blitar,,5,03/13/2024 06:16:01
Senden Ngerit cave Kampak,Siswo S,,5,02/29/2024 10:48:39
Senden Ngerit cave Kampak,Spesialis Marmer BAS,,5,02/28/2024 03:16:44
Senden Ngerit cave Kampak,Deden Ery Setiyono,,5,02/25/2024 06:17:03
Senden Ngerit cave Kampak,Sujianto Jito,,5,02/23/2024 11:36:09
Senden Ngerit cave Kampak,Arshaka Trevel,,4,01/11/2024 01:52:24
Senden Ngerit cave Kampak,S. Raharjo,Bagus banget dan sangat rekomen banget  cuma butuh penanganan lebih dan dibagian  lokasi saran saya diberi pos jaga,5,01/03/2024 06:56:02
Senden Ngerit cave Kampak,Faradinda Sisdania,"Tempatnya bagus banget, bener2 hidden gem belum banyak yang tau, luas dan seru buat dieksplore, staffnya juga ramah2 semua, tiket masuknya weekend 6000/orang.

Jembatannya agak karatan tapi masih kuat dan oke, yang penting gak muat banyak orang aman.

Hati2 kalau kesana naik mobil pake google maps, mending ikut jalur utama aja (aspal), soale kalo ikut maps dilewatin jalur pedalaman.",5,01/02/2024 05:07:10
Senden Ngerit cave Kampak,Wulan,"Tiket masuk 6.000, tutup jam 4 sore.

Lumayan luas, kami menghabiskan waktu sekitar 30-45 menit dengan jalan agak cepat dan tidak berlama-lama di 1 spot (karena kemarin datang mepet waktu tutup). May take longer if you take your time there.

View was breathtaking. Secara keseluruhan dimaintain dengan baik, bersih. Hanya saja ada beberapa spot yang tidak dibuka/tidak dapat dilewati karena belum diperbaiki.

Kami membawa anak usia 11 & 14, semua aman bisa dilalui dengan mudah. Ada beberapa spot yang agak susah dilalui anak usia lebih muda, seperti tangga batu yang terlalu tinggi. Tapi bisa dilewati. Banyak spot lain yg menarik

Di dalam bisa jalan sendiri atau ditemani pemandu wisata (dengan bayaran seikhlasnya).

Di depan pintu masuk ada warung jajanan, saung2, dan mushola",4,01/02/2024 03:05:21
Senden Ngerit cave Kampak,Arif Usman,Sudah mulai kembali alami,3,12/26/2023 00:42:28
Senden Ngerit cave Kampak,BNC chanel,,4,10/29/2023 03:01:48
Senden Ngerit cave Kampak,nurul imawati,"This place offers a unique blend of nature, history, and exploration that will leave you in awe. It's an ideal destination for nature lovers, adventure seekers, and anyone looking to uncover the hidden treasures of East Java. Make sure to include this captivating cave in your travel itinerary.",5,10/21/2023 01:43:32
Senden Ngerit cave Kampak,Yuli yuanisti,"Keren bangettt goanya, batu batunya seperti disusun, tapi sumpah bagus banget ini. Destinasi wajib kayaknya klo ke trenggalek, tolong bantu viralkan ya. Bapak penjaganya juga ramah bangettt",5,09/29/2023 09:31:09
Senden Ngerit cave Kampak,03 Arif Prasetyo,"Wisata edukasi yang potensial di Trenggalek, saat ini masih minim perawatan dan jalan masih kurang accesible",4,09/28/2023 05:24:35
Senden Ngerit cave Kampak,HERU SUKAMTO,"Pemandangan alam yang alami, goa, batu""an, udara sejuk",5,09/28/2023 03:50:55
